rank,champion,games,KDA,WR,pick,ban,cs,gold
52,Zyra,192,3.16,55.21,6.99,5.48,188.71,11473
53,Neeko,190,2.81,52.63,6.92,1.18,63.94,8500
54,Ekko,185,3.05,50.27,6.83,2.22,197.31,11848
55,Sona,184,3.19,53.26,6.79,1.36,26.69,7799
56,Diana,177,2.59,57.63,6.45,1.45,192.18,11840
57,Garen,169,2.25,52.66,6.16,2.41,205.02,11777
58,Riven,160,2.22,51.25,5.83,8.06,200.78,11609
59,Pantheon,160,2.16,40.63,5.83,1.42,147.55,10426
60,Braum,159,3.08,50.94,5.79,5.33,23.71,7133
61,Aatrox,158,2.08,4.81,5.76,4.89,177.53,10395
62,Janna,155,3.88,53.55,5.72,3.86,24.06,7465
63,Tristana,153,2.63,55.56,5.64,0.54,207.52,12824
64,Gwen,153,1.81,40.52,5.57,2.68,191.23,11212
65,Zac,150,3.37,54.67,5.46,5.14,144.34,9863
66,Swain,148,2.87,51.35,5.46,1.34,180.99,10870
67,Orianna,144,3.18,56.25,5.25,1.01,197.33,10605
68,Blitzcrank,144,2.66,52.08,5.25,0.85,23.44,7164
69,Nami,144,3.87,49.31,5.25,0.56,23.22,7603
70,Kha'Zix,142,2.85,45.77,5.17,0.35,170.93,11456
71,Senna,141,2.96,54.61,5.14,0.78,31.61,8331
72,Leona,141,2.55,47.52,5.14,2.01,25.09,7187
73,Thresh,139,3.11,49.64,5.06,3.31,26.56,7183
74,Rumble,136,2.24,44.85,4.95,1.45,186.17,10817
75,Kalista,134,2.39,43.28,4.88,3.01,202.46,12187
76,Smolder,133,2.36,45.11,4.84,1.27,223.16,12163
77,Lucian,127,2.51,52.76,4.63,0.28,208.8,11887
78,Ziggs,127,2.99,50.39,4.63,0.67,215.27,11706
79,LeBlanc,124,2.48,41.94,4.52,22.71,156.94,9891
80,Fiora,123,1.92,57.72,4.48,7.97,207.29,12135
81,Qiyana,120,2.75,61.67,4.37,4.05,180.3,11951
82,Azir,119,2.34,53.78,4.33,1.37,212.93,11549
83,Vladimir,119,2.65,44.54,4.33,5.57,201.12,11094
84,Aphelios,118,2.29,49.15,4.35,0.52,202.92,11660
85,Xerath,117,3.64,53.85,4.26,0.02,154.71,10485
86,Kennen,113,2.28,57.52,4.12,3.15,188.5,11130
87,Volibear,110,2.08,47.27,4.06,1.47,181.27,10689
88,Seraphine,109,3.09,54.13,4.02,2.01,90.32,8859
89,Bel'Veth,109,3.04,48.62,3.97,1.06,176.42,11627
90,Xin Zhao,105,2.92,54.29,3.82,0.33,164.17,10876
91,Zoe,102,2.97,52.94,3.72,4.39,106.28,9690
92,Dr. Mundo,95,2.52,44.21,3.46,0.94,195.67,11028
93,Darius,94,1.99,51.06,3.42,8.42,199.72,11408
94,Ryze,92,2.35,54.35,3.35,0.86,214.32,11409
95,Teemo,91,2.28,57.14,3.31,2.42,206.65,11535
96,Lissandra,91,2.71,50.55,3.31,0.95,179.89,10267
97,Nocturne,91,3.11,46.15,3.31,0.16,177.43,11299
98,Karthus,90,2.39,44.44,3.28,12.85,197.17,12214
99,Lillia,89,3.35,58.43,3.24,1.38,190.69,11350
100,Rengar,89,2.38,44.94,3.24,20.09,176.18,11359
101,Alistar,89,2.79,4.27,3.24,1.57,22.94,6940
102,Miss Fortune,88,2.79,46.59,3.21,0.36,213.86,11953
103,Kayn,86,2.67,55.81,3.13,4.19,184.67,11786
104,Trundle,86,1.51,0.5,3.17,0.18,204.58,12245
105,Zilean,85,3.14,47.06,0.31,0.17,92.91,7722
106,Zeri,84,2.4,40.48,3.06,0.37,224.45,12286
107,Xayah,83,2.44,45.78,3.02,0.35,221.17,12281
108,Samira,80,2.29,51.25,2.91,2.67,183.21,12175
109,Soraka,80,3.09,46.25,2.91,1.87,39.89,7706
110,Hecarim,79,2.9,43.04,2.88,4.64,193.19,11339
111,Nunu & Willump,78,2.43,33.33,2.84,3.54,142.21,9073
112,Kayle,77,2.25,49.35,0.28,0.83,225.47,12285
113,Udyr,74,2.82,5.27,2.73,4.76,179.85,10322
114,Fiddlesticks,73,2.83,57.53,2.66,5.58,74.84,9529
115,Shaco,73,2.5,49.32,2.66,9.15,121.48,10403
116,Shen,72,2.93,52.78,2.66,0.55,131.83,8504
117,Briar,71,2.54,56.34,2.62,1.65,154.52,11786
118,Gangplank,70,2.24,61.43,2.58,0.38,206.49,12713
119,Akshan,69,2.94,49.28,2.51,4.47,190.16,12380
120,Renata Glasc,67,2.98,52.24,2.44,0.52,28.27,7606
121,Milio,67,4.03,47.76,2.44,2.31,24.31,7352
122,Veigar,65,2.52,58.46,0.24,0.26,204.69,12145
123,Yuumi,65,4.28,43.08,2.37,5.03,15.05,7028
124,Kassadin,64,2.87,54.69,2.33,3.22,192.22,11845
125,Katarina,63,2.73,55.56,2.29,5.67,186.57,12147
126,Cho'Gath,63,2.45,53.97,2.29,0.27,189.78,10459
127,Taric,63,2.39,46.03,2.29,0.48,43.49,7062
128,Sivir,61,2.58,50.82,2.22,0.28,231.49,12104
129,Ivern,61,4.63,49.18,2.22,1.33,137.18,9604
130,Olaf,58,2.06,53.45,2.14,1.34,195.36,11604
131,Malphite,58,2.29,53.45,2.11,5.63,169.38,9948
132,Rammus,58,3.44,51.72,2.11,1.77,158.72,10681
133,Vayne,58,2.15,0.5,2.11,1.87,189.76,11569
134,Warwick,58,1.89,37.93,2.11,0.89,168.67,11066
135,Evelynn,57,3.79,63.16,2.08,3.45,156.91,10804
136,Aurelion Sol,57,3.56,57.89,2.08,0.46,206.32,11735
137,Rek'Sai,57,3.68,52.63,0.21,0.77,179.51,12298
138,Singed,57,2.03,42.11,2.08,0.88,172.35,9992
139,Sejuani,55,3,49.09,0.02,0.06,139.36,9399
140,Sett,55,1.84,47.27,2.03,0.12,179.38,11512
141,Urgot,54,2.02,0.5,1.97,0.99,193.78,11833
142,Tahm Kench,51,2.43,4.51,1.88,0.21,54.86,8513
143,Tryndamere,50,1.95,0.58,1.82,0.25,240.58,13679
144,Cassiopeia,50,1.95,0.4,1.82,1.88,197.78,11455
145,Sion,48,1.54,47.92,1.75,0.24,211.04,12066
146,Ornn,46,2.83,5.87,0.17,0.18,169.59,9579
147,Twitch,46,2.84,54.35,1.68,0.09,162.09,12261
148,Master Yi,45,2.25,51.11,1.66,0.75,177.09,12508
149,Kog'Maw,45,1.93,28.89,1.66,0.14,195.02,11113
150,Vex,44,2.63,56.82,0.16,1.66,189.75,11082
151,Anivia,41,2.61,41.46,1.51,1.42,195.22,11045
152,Twisted Fate,39,2.2,51.28,1.44,0.29,187.26,11260
153,Yorick,39,1.43,43.59,1.42,0.49,186.97,10508
154,Fizz,39,2.51,43.59,1.44,0.55,154.77,10855
155,Vel'Koz,35,3.03,0.6,1.29,0.31,167.91,11602
156,Mordekaiser,32,2.22,59.38,1.18,0.91,174.25,10702
157,Nilah,31,2.14,58.06,1.13,3.41,201.23,12587
158,Heimerdinger,31,1.99,41.94,1.14,0.68,169.45,9619
159,Kled,30,2.26,66.67,1.11,0.27,188.8,12340
160,Morgana,27,3.25,55.56,0.98,1.99,114.81,9350
161,Naafiri,26,1.9,42.31,0.95,0.27,161.38,9767
162,Brand,25,2.16,0.44,0.91,0.27,138.92,9463
163,Annie,24,2.44,58.33,0.89,0.37,167,10856
164,Malzahar,23,2.23,47.83,0.84,0.87,203.39,10805
165,Shyvana,23,2.89,47.83,0.85,0.12,209.39,12167
166,Quinn,21,1.95,52.38,0.76,0.73,157.57,11228
167,Nasus,20,2.08,0.5,0.73,1.62,184.05,10645
168,Amumu,17,1.72,29.41,0.62,1.15,125.41,8739
169,Illaoi,16,1.95,31.25,0.59,1.11,211.13,12318
